Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,Signal60,Signal61,Signal62,Signal63,Signal64,Signal65,Signal66,Signal67,Signal68,Signal69,Signal70,Signal71,Signal72,Signal73,Signal74,Signal75,Signal76,Signal77,Signal78
-1.08E+07,-21960000,-30058000,-19059000,-22958000,-31451000,-49177000,-77065000,-66539000,-76568000,-79092000,-56406000,-47860000,-34214000,-37770000,-30452000,-31696000,-40077000,-35281000,-12506000,-33266000,-54833000,-40936000,-16264000,-27330000,-46234000,-30785000,-2851200,-25242000,51124,-4210200,-26459000,-44473000,-25858000,-9347100,-24307000,-19544000,-1089100,-25068000,-16829000,-8265200,-22836000,-19945000,1991200,2541000,-27011000,-52523000,-44079000,-56847000,12780000,-37072000,-19789000,2928700,17424000,-8333000,-15613000,13026000,1260800,26805000,21744000,14644000,-15381000,-13398000,-36759000,-39621000,-8147900,-38751000,-30518000,-36921000,-19769000,-24181000,-26945000,-29163000,-27547000,-35422000,-38173000,-17747000,-10880000
-9.92E+06,-18604000,-26876000,-14166000,-20096000,-30566000,-43960000,-74308000,-69250000,-76650000,-77914000,-53326000,-42092000,-34394000,-35111000,-38470000,-30492000,-44709000,-30002000,-18282000,-38932000,-52519000,-40739000,-11615000,-26184000,-47722000,-34659000,2654100,-32669000,1544500,-6642500,-24043000,-48476000,-25124000,-8060700,-16751000,-19226000,-4553500,-30342000,-15689000,-8883900,-22712000,-22843000,-217200,8911300,-30252000,-45568000,-43735000,-55307000,9087100,-45188000,-20290000,8954300,16606000,-7311000,-11283000,15400000,-11419000,20064000,18399000,10128000,-17818000,-6185700,-27869000,-36017000,-757860,-37061000,-29819000,-41788000,-18153000,-18950000,-26816000,-20255000,-30078000,-39470000,-32059000,-10797000,-14505000
-7.85E+06,-16469000,-25683000,-12296000,-17134000,-31735000,-44295000,-71082000,-65342000,-78126000,-75960000,-52894000,-42434000,-33567000,-30536000,-45433000,-33183000,-45705000,-23834000,-24115000,-36759000,-51211000,-42971000,-9397100,-21335000,-45505000,-38583000,6035400,-37433000,-3350000,-9774600,-18856000,-53073000,-24361000,-7547400,-9018500,-19935000,-4195700,-31484000,-14530000,-9247900,-21075000,-25272000,-2814100,11924000,-32219000,-36328000,-41855000,-52335000,3173100,-46986000,-22459000,13482000,17337000,-8348600,-5730500,16236000,-19389000,10444000,10819000,5366700,-17829000,2874500,-16161000,-34170000,-114370,-35803000,-32776000,-42273000,-18332000,-11568000,-25893000,-12593000,-33953000,-41458000,-26343000,-9224200,-20486000
-9.87E+06,-16964000,-30232000,-16219000,-13283000,-32816000,-47861000,-67232000,-57957000,-77496000,-77442000,-57530000,-45407000,-31052000,-23622000,-46568000,-33213000,-41783000,-19585000,-30233000,-27141000,-50471000,-47478000,-13379000,-13577000,-43148000,-44929000,5370700,-40214000,-9286600,-12313000,-9107700,-57625000,-22170000,-10665000,-5281900,-22408000,-5738100,-29660000,-12910000,-10335000,-19877000,-25658000,-7741600,12627000,-32203000,-28497000,-40735000,-48317000,-3510000,-44990000,-26543000,11350000,19558000,-13894000,-1151100,15788000,-22710000,5308500,3554000,4689500,-14830000,12329000,-5980500,-32438000,-3705600,-32618000,-36936000,-37756000,-20650000,-4763000,-24370000,-8872400,-38437000,-38326000,-25187000,-12392000,-23701000
-1.65E+07,-19325000,-36487000,-23710000,-12108000,-29857000,-49056000,-60651000,-51751000,-71620000,-79928000,-65633000,-46488000,-29313000,-17172000,-43469000,-26988000,-36079000,-16834000,-37283000,-16349000,-48319000,-50724000,-21974000,-8081400,-41669000,-51469000,1009700,-42914000,-11142000,-14190000,-519050,-59454000,-19058000,-17661000,-4703200,-26213000,-13158000,-28068000,-9638700,-9830500,-19123000,-23294000,-14812000,9969000,-32663000,-23521000,-39917000,-43426000,-11021000,-44347000,-33205000,4603300,19681000,-21510000,4734200,13900000,-23688000,7400300,-846680,8775200,-9603400,20730000,492880,-28812000,-8527500,-26240000,-36531000,-32710000,-25083000,158050,-21280000,-9068500,-42322000,-31948000,-27693000,-18366000,-22402000
-2.43E+07,-20413000,-38805000,-29519000,-16343000,-21597000,-46306000,-51123000,-48096000,-63525000,-76084000,-74066000,-46063000,-29783000,-14317000,-40385000,-18385000,-32712000,-15182000,-44774000,-10979000,-43914000,-50021000,-30228000,-7161600,-38799000,-54384000,-6090400,-44504000,-11303000,-15934000,-229770,-57133000,-18196000,-23600000,-4935400,-29266000,-22437000,-27522000,-7052000,-5676600,-18821000,-21255000,-21456000,1428600,-37410000,-21744000,-36413000,-37753000,-18201000,-44092000,-40273000,1326900,17349000,-26867000,12102000,10481000,-23754000,12658000,-2850400,12316000,-3919700,26740000,4656900,-23845000,-14143000,-19524000,-31397000,-30355000,-29312000,3786900,-16016000,-11904000,-45157000,-26076000,-30287000,-24372000,-20351000
-3.09E+07,-18256000,-37756000,-31739000,-23673000,-11958000,-42668000,-41835000,-45652000,-57430000,-63779000,-79764000,-46185000,-30684000,-15648000,-38365000,-13327000,-33374000,-15248000,-51233000,-12873000,-39179000,-45739000,-36126000,-7459500,-35957000,-54059000,-14047000,-43933000,-15702000,-17904000,-7841200,-53084000,-21798000,-23970000,-6375900,-28346000,-27840000,-27926000,-9060500,-529240,-20067000,-22491000,-26137000,-12007000,-45868000,-22701000,-29316000,-30425000,-21626000,-39037000,-44274000,5378800,15733000,-28569000,16446000,7556300,-22120000,15433000,-2015000,10981000,1384000,29550000,8083600,-18816000,-19459000,-15081000,-27068000,-27999000,-29707000,6089800,-9641600,-16265000,-46029000,-22904000,-30994000,-26792000,-21508000
-3.65E+07,-14707000,-37629000,-33780000,-30145000,-6935000,-40639000,-35914000,-44189000,-52154000,-50818000,-80085000,-45443000,-30185000,-19363000,-35665000,-13196000,-36517000,-15613000,-55844000,-19462000,-36969000,-39442000,-41515000,-5525100,-38106000,-53140000,-19361000,-43130000,-23996000,-20281000,-16751000,-51303000,-26505000,-21011000,-10716000,-22474000,-30443000,-30243000,-15363000,734490,-22963000,-25643000,-30161000,-24795000,-51511000,-24495000,-22198000,-21117000,-19685000,-29091000,-44102000,11695000,14582000,-27815000,16118000,7508600,-17378000,15097000,2271500,8321500,7040300,28863000,9794700,-13305000,-20861000,-11216000,-26433000,-22194000,-24578000,6531700,-3559900,-21320000,-42255000,-23926000,-30368000,-23777000,-25478000
-4.03E+07,-13093000,-39455000,-38714000,-35291000,-8200300,-40089000,-33110000,-44839000,-45226000,-46413000,-74881000,-41791000,-29378000,-23554000,-31924000,-15669000,-39343000,-13442000,-59206000,-26605000,-37862000,-32347000,-47154000,-2368900,-44616000,-51222000,-19656000,-43161000,-29470000,-22571000,-22442000,-52830000,-25908000,-20649000,-16943000,-15567000,-34885000,-34080000,-20811000,-2512900,-26037000,-27892000,-34462000,-32033000,-49125000,-24631000,-19434000,-12811000,-16101000,-20983000,-40950000,13132000,9758700,-25703000,15841000,8573600,-10220000,15860000,6901600,10637000,13391000,24642000,7797400,-6518700,-16629000,-5970500,-27144000,-15434000,-15511000,6087500,1881200,-26259000,-32387000,-30572000,-29584000,-17917000,-29379000
-3.97E+07,-13726000,-41646000,-44036000,-41174000,-11184000,-40310000,-31433000,-46393000,-39980000,-50645000,-67727000,-37651000,-30564000,-27786000,-29001000,-18856000,-40649000,-10029000,-61950000,-30395000,-39819000,-26361000,-50427000,-470110,-47706000,-46190000,-16989000,-41246000,-29145000,-23768000,-25238000,-54927000,-19220000,-24309000,-22031000,-13213000,-40046000,-35894000,-21100000,-5808000,-28914000,-29789000,-36557000,-33891000,-42244000,-22347000,-20533000,-10070000,-16303000,-19428000,-36183000,8355600,1555400,-23855000,18511000,6009600,-4055900,20242000,7659100,16611000,18870000,17615000,1831700,490010,-10648000,-2460400,-27102000,-12764000,-5970500,5746000,6572800,-30097000,-19974000,-41140000,-29132000,-14012000,-32021000
